169.254.81.47 - - [09/Jun/2014:02:44:16 +0800] "GET /solr/css/styles/files.css?_=4.8.1 HTTP/1.1" 200 1156
169.254.81.47 - - [09/Jun/2014:02:44:16 +0800] "GET /solr/css/styles/dataimport.css?_=4.8.1 HTTP/1.1" 200 7504
169.254.81.47 - - [09/Jun/2014:02:44:16 +0800] "GET /solr/css/styles/logging.css?_=4.8.1 HTTP/1.1" 200 8326
169.254.81.47 - - [09/Jun/2014:02:44:16 +0800] "GET /solr/css/styles/index.css?_=4.8.1 HTTP/1.1" 200 4627
169.254.81.47 - - [09/Jun/2014:02:44:16 +0800] "GET /solr/css/styles/java-properties.css?_=4.8.1 HTTP/1.1" 200 1185
169.254.81.47 - - [09/Jun/2014:02:44:16 +0800] "GET /solr/css/styles/plugins.css?_=4.8.1 HTTP/1.1" 200 4087
169.254.81.47 - - [09/Jun/2014:02:44:16 +0800] "GET /solr/css/styles/menu.css?_=4.8.1 HTTP/1.1" 200 6212
169.254.81.47 - - [09/Jun/2014:02:44:16 +0800] "GET /solr/css/styles/documents.css?_=4.8.1 HTTP/1.1" 200 3581
169.254.81.47 - - [09/Jun/2014:02:44:16 +0800] "GET /solr/css/styles/query.css?_=4.8.1 HTTP/1.1" 200 2960
169.254.81.47 - - [09/Jun/2014:02:44:16 +0800] "GET /solr/css/styles/replication.css?_=4.8.1 HTTP/1.1" 200 9733
169.254.81.47 - - [09/Jun/2014:02:44:16 +0800] "GET /solr/css/styles/schema-browser.css?_=4.8.1 HTTP/1.1" 200 12272
169.254.81.47 - - [09/Jun/2014:02:44:16 +0800] "GET /solr/css/chosen.css?_=4.8.1 HTTP/1.1" 200 15200
169.254.81.47 - - [09/Jun/2014:02:44:16 +0800] "GET /solr/css/styles/threads.css?_=4.8.1 HTTP/1.1" 200 3665
169.254.81.47 - - [09/Jun/2014:02:44:16 +0800] "GET /solr/js/require.js?_=4.8.1 HTTP/1.1" 200 334559
169.254.81.47 - - [09/Jun/2014:02:44:16 +0800] "GET /solr/img/solr.png HTTP/1.1" 200 7926
